RSS            K Variance     Outer Scale    Diameter       Wind X         Wind Y         
470.9190561    154.8637295    1.0            0.1            0.05           0.05           
835.1587968    178.093289     1.0            0.1            0.05           0.05           
514.911184     154.8637295    1.15           0.1            0.05           0.05           
574.8686231    154.8637295    1.0            0.115          0.05           0.05           
481.6098304    154.8637295    1.0            0.1            0.0575         0.05           
491.0842941    154.8637295    1.0            0.1            0.05           0.0575         
288.4117924    131.6341701    1.06           0.106          0.053          0.053          
201.5350499    108.4046107    1.09           0.109          0.0545         0.0545         
284.0784453    136.280082     1.096          0.0886         0.0548         0.0548         
253.326708     128.846623     0.9244         0.09904        0.05672        0.05672        
211.7514069    118.4397804    1.04416        0.098656       0.059408       0.048908       
217.3025279    103.8702007    1.061824       0.0981184      0.0526712      0.0559712      
312.3255244    83.4727891     1.0865536      0.0973658      0.0612397      0.0583597      
220.5707438    101.3205242    1.0649152      0.0980243      0.0584298      0.0562698      
258.128229     88.0726136     0.9781197      0.1125355      0.0578916      0.0541476      
214.8801568    100.1244807    1.0075898      0.1065516      0.0571187      0.0543107      
280.2128881    84.0172157     1.1829956      0.1051001      0.0561311      0.0512639      
216.6264699    117.6392712    0.9890489      0.100555       0.0565728      0.055356       
215.9683331    118.0708132    1.0121339      0.1071281      0.0536785      0.0513486      
228.8920231    121.2013817    0.995349       0.1106379      0.05984        0.0497981      
207.3714453    108.2029959    1.0452053      0.1012483      0.0544634      0.0544279      
200.2715793    103.6578012    1.0905867      0.1084786      0.0550947      0.0500421      
206.7465984    96.6670662     1.1413555      0.1124403      0.0543556      0.0473852      
220.9860456    97.4610544     1.0988828      0.1024457      0.0585554      0.0535269      
205.3918512    112.9183735    1.0338211      0.1059575      0.0548977      0.0518932      
222.1333056    120.524944     1.1139194      0.1027845      0.0542268      0.0495978      
204.8193921    105.2245965    1.0341722      0.1056098      0.0563957      0.0531325      
212.3790917    96.9235708     1.0733541      0.1134617      0.0507326      0.0566903      
204.8119336    113.060728     1.0514585      0.1023574      0.0572392      0.0508536      
198.7345429    109.103448     1.0748101      0.1113131      0.0567875      0.0497406      
198.7989521    109.553674     1.0896126      0.1163454      0.0579496      0.0473969      
200.4923421    102.8621002    1.1025899      0.1087461      0.0571091      0.0514143      
199.177645     109.6108787    1.1296059      0.1103482      0.0558964      0.0494878      
197.237478     100.3948076    1.1435785      0.1167969      0.0545159      0.0512204      
202.7033792    94.0618474     1.1896385      0.1240167      0.0531543      0.0514038      
195.484854     101.8470036    1.1264684      0.1132731      0.0572615      0.0462621      
196.3698833    98.5682        1.1447027      0.1154097      0.0586422      0.0421431      
195.5889633    106.9834754    1.12343        0.1153379      0.0547133      0.0472868      
197.2351207    107.5180441    1.1485705      0.1183491      0.0565752      0.047557       
194.4034103    100.7278327    1.1171371      0.1196798      0.0560449      0.047339       
197.9080205    96.2863097     1.1109027      0.1243457      0.0561192      0.0462645      
194.8810792    97.8850174     1.1888637      0.1220617      0.0548568      0.0461255      
192.1977095    105.5897417    1.1382094      0.1186837      0.0572648      0.0426078      
193.5229034    108.1872088    1.1355248      0.1196271      0.0586392      0.0383014      
198.8994071    97.6951842     1.1290729      0.1172654      0.0554813      0.0442915      
