RSS            K Variance     Outer Scale    Diameter       Wind X         Wind Y         
6547.1750293   329.0490755    1.0            0.1            0.05           0.05           
9927.5203054   378.4064368    1.0            0.1            0.05           0.05           
6980.7010673   329.0490755    1.15           0.1            0.05           0.05           
7543.6017357   329.0490755    1.0            0.115          0.05           0.05           
6692.0810921   329.0490755    1.0            0.1            0.0575         0.05           
6687.8824059   329.0490755    1.0            0.1            0.05           0.0575         
4447.2024134   279.6917142    1.06           0.106          0.053          0.053          
2704.8493491   230.3343528    1.09           0.109          0.0545         0.0545         
4318.35943     289.5631864    1.096          0.0886         0.0548         0.0548         
3819.9582745   273.7688308    0.9244         0.09904        0.05672        0.05672        
3123.8735716   251.6567329    1.04416        0.098656       0.048908       0.059408       
2307.2747013   220.6997959    1.061824       0.0981184      0.0559712      0.0526712      
1726.9667875   166.5251561    1.092736       0.0971776      0.0589568      0.0502568      
1738.702438    155.6902282    1.0989184      0.0969894      0.0595539      0.0602739      
1742.6765562   141.6269339    1.0040858      0.1117452      0.0566555      0.0576635      
2248.9488778   104.5645308    1.2075601      0.1063873      0.0547097      0.0561209      
3329.7141914   67.8397478     1.1531601      0.1098638      0.0648424      0.052118       
2060.7375375   205.7024866    1.07141        0.101458       0.0528916      0.0575855      
3102.8592332   79.3093814     1.0998841      0.096503       0.058607       0.0582602      
1890.2257262   192.57811      1.092471       0.1058758      0.0555267      0.0554401      
2753.3789632   240.2846351    0.9362884      0.0989111      0.0587241      0.056367       
1769.7098874   138.4945569    1.1397422      0.1045182      0.0557133      0.0561824      
2146.5918881   112.2635074    1.0997713      0.1050645      0.0616709      0.0543412      
1781.5882761   182.3427418    1.0785003      0.1023596      0.0550864      0.0567744      
2064.7869733   121.2937368    1.073122       0.0992403      0.0588596      0.0570204      
1728.1673608   174.7570167    1.0876338      0.1042169      0.05636        0.0558351      
1906.4002183   128.4948149    1.0907461      0.1034994      0.0598094      0.0553103      
1710.283398    168.8807601    1.0815618      0.1026445      0.0562672      0.0564084      
1814.8152896   184.4974811    1.0062321      0.1005912      0.059404       0.0559927      
1713.8660265   149.9952879    1.1063646      0.1035365      0.056636       0.056135       
1801.7339608   184.7124457    1.1828001      0.0900808      0.058454       0.0539002      
1706.324879    152.3983119    1.0487643      0.1063291      0.0571051      0.0567227      
1689.2858319   169.3323849    1.0679058      0.1085724      0.0545761      0.0498693      
1709.955729    176.1534633    1.0523995      0.1143639      0.0520872      0.0446669      
1741.8648257   148.0957437    1.0712993      0.1030872      0.0570565      0.0519217      
1702.3080329   168.0916984    1.0835501      0.1039345      0.0565341      0.0548568      
1657.2304992   156.9542212    1.0625227      0.1128292      0.0534906      0.05934        
1629.6940495   152.1687537    1.047416       0.120655       0.0507575      0.0638817      
1715.4826733   174.3534757    1.0253146      0.1133177      0.05346        0.0565605      
1686.565725    156.0848349    1.0861021      0.1059818      0.055842       0.0562414      
1657.2803467   150.3496334    1.0519336      0.1155446      0.0536588      0.0562203      
1657.6975408   166.0126103    1.0859988      0.1155462      0.0514422      0.0557051      
1624.4288712   149.4875884    1.0521924      0.1225855      0.0499765      0.0579103      
1619.2717114   140.1855334    1.0365135      0.1319111      0.0466977      0.059437       
1655.939934    136.5881614    1.0552798      0.127283       0.0487832      0.0667249      
1587.003899    142.037042     1.0247546      0.1383941      0.0446938      0.0645462      
1568.4282128   135.0131456    0.9940808      0.1546003      0.0391196      0.0686987      
1753.5574661   119.7094807    0.9880908      0.1444514      0.0441645      0.0702799      
1616.9168762   154.4368279    1.0615218      0.1227725      0.0496228      0.0593488      
1574.2238395   137.0073354    1.0259912      0.1473442      0.0403336      0.0710161      
1566.3232725   150.936477     1.0109295      0.1436302      0.0418293      0.062228       
1584.9783638   158.1106348    0.9887543      0.1518038      0.0383524      0.0599795      
1554.3743378   134.862974     1.0041987      0.1594483      0.0362837      0.0644098      
1562.0117108   126.2100842    0.98259        0.178845       0.0290469      0.0646739      
1536.8317171   144.7171705    1.0021752      0.1592071      0.0361779      0.0708435      
1533.45117     146.982989     0.9850061      0.1728552      0.030918       0.0765467      
1537.4094724   127.4843405    0.9465607      0.1883788      0.0257709      0.0778109      
