RSS            K Variance     Outer Scale    Diameter       Wind X         Wind Y         
159.5462576    102.1046654    1.0            0.1            0.05           0.05           
300.3252365    117.4203652    1.0            0.1            0.05           0.05           
179.4370256    102.1046654    1.15           0.1            0.05           0.05           
204.6745943    102.1046654    1.0            0.115          0.05           0.05           
165.3003275    102.1046654    1.0            0.1            0.0575         0.05           
167.9393683    102.1046654    1.0            0.1            0.05           0.0575         
91.0801123     86.7889655     1.06           0.106          0.053          0.053          
55.2441576     71.4732657     1.09           0.109          0.0545         0.0545         
85.4938776     89.8521055     1.096          0.0886         0.0548         0.0548         
73.2875907     84.9510816     0.9244         0.09904        0.05672        0.05672        
57.8338614     78.0896481     1.04416        0.098656       0.059408       0.048908       
56.6870018     68.4836411     1.061824       0.0981184      0.0526712      0.0559712      
89.8778256     55.0352315     1.0865536      0.0973658      0.0612397      0.0583597      
58.3787706     66.8025899     1.0649152      0.0980243      0.0584298      0.0562698      
71.6358839     58.0679851     0.9781197      0.1125355      0.0578916      0.0541476      
91.4248595     52.2157704     1.1712076      0.1074937      0.0564402      0.0511986      
58.1963908     76.7672538     0.9861019      0.1011534      0.0566501      0.0553397      
75.7237746     86.5785744     1.1206808      0.0894454      0.054772       0.0542479      
57.7826527     65.1956324     1.0137599      0.106763       0.0571117      0.0541727      
59.5094261     77.2011865     1.0134231      0.107452       0.0537066      0.0512868      
55.3639336     69.4022391     1.0520422      0.1003812      0.057249       0.055024       
58.064929      64.2905168     1.1186126      0.104014       0.0557259      0.0520907      
55.2120039     67.409701      1.0854849      0.1032989      0.0559569      0.0529029      
70.3220792     58.6961437     1.0770844      0.1083686      0.0515875      0.0601203      
54.3862705     73.241272      1.0523911      0.1010841      0.0574529      0.0517111      
55.9384319     74.8084152     1.1229369      0.0979901      0.0540203      0.053871       
56.7684343     74.0503161     1.099318       0.1065833      0.0590004      0.0512324      
54.9146531     69.8753099     1.0711975      0.1002346      0.0542535      0.0547865      
56.6586263     65.7522999     1.0175094      0.1076095      0.0577446      0.0536988      
54.6689715     72.5443864     1.09658        0.1003949      0.0549514      0.053828       
54.5530204     72.4153349     1.1062192      0.1052238      0.0535969      0.0520674      
54.7278849     70.7211359     1.0747491      0.0950946      0.0559846      0.0516184      
56.2856084     76.1092746     1.0749699      0.097514       0.0545388      0.0527016      
54.2503795     69.5845944     1.0828561      0.1018526      0.0556024      0.0528526      
54.1973263     73.5273796     1.0939207      0.1012254      0.0567818      0.0500444      
55.4674209     75.3534144     1.1052824      0.1017208      0.0580459      0.0476734      
57.1940041     73.804051      1.0980378      0.1088178      0.0553695      0.052583       
53.971851      71.4918647     1.0805713      0.0985254      0.0558309      0.0518595      
53.2404973     71.5597919     1.0698034      0.1027696      0.0567545      0.049586       
52.6234044     71.0674946     1.056415       0.1039569      0.0576561      0.0474651      
53.8319137     71.1497072     1.0402425      0.097434       0.0597327      0.0495057      
53.5376962     69.4871442     1.0892112      0.1001136      0.0567887      0.0489799      
52.5944525     73.1048417     1.0612881      0.0986495      0.0591137      0.0462892      
52.1562389     74.8649653     1.0505041      0.0970479      0.0608693      0.0430076      
53.8422715     69.6970908     1.0328569      0.0976057      0.0595693      0.0462826      
51.58724       71.0146962     1.0271206      0.0999379      0.0620156      0.0422368      
50.4177626     70.7761119     1.0003953      0.1006441      0.0651079      0.0374254      
52.3366874     73.2410785     1.0618503      0.1020729      0.0604926      0.0442708      
50.7338727     72.6250106     1.0631079      0.1041002      0.0606331      0.0389538      
51.0858025     75.5427201     1.0036979      0.1030152      0.065115       0.0354692      
49.3789236     75.75246       1.0154072      0.0987952      0.067231       0.0321856      
48.0288305     78.0949427     0.9949033      0.0962143      0.0720185      0.0245459      
47.4879769     75.5204218     0.9831931      0.0983358      0.0690049      0.0274899      
44.874476      76.6600935     0.9438644      0.0964672      0.0732611      0.0190995      
45.2130437     74.6145862     0.9518834      0.1031286      0.073585       0.01919        
44.819398      73.5655778     0.9779638      0.0972066      0.0727273      0.0202167      
43.0012941     72.5770066     0.9650967      0.0943022      0.0765334      0.0125904      
39.8463248     76.4640857     0.8793493      0.0922024      0.0835692      0.0061867      
34.095988      78.3836233     0.7874701      0.0862535      0.0950373      -0.0101968     
36.0398189     81.355989      0.8568919      0.0899022      0.0910662      -0.0113338     
34.5030636     75.3415768     0.8071793      0.0918072      0.0917747      -0.0128062     
31.1083687     79.1127295     0.7923176      0.0803644      0.0974841      -0.0202487     
28.0181256     81.3618011     0.7125347      0.0689823      0.1094336      -0.0399681     
26.5535886     78.9479052     0.7078046      0.0760317      0.112277       -0.0437853     
34.0754268     80.0918111     0.5897748      0.065814       0.1317849      -0.0752277     
30.2647838     85.5793515     0.5836555      0.0708886      0.123302       -0.0598265     
37.3799377     78.4897142     0.5825658      0.0676831      0.1216637      -0.0552993     
30.4997999     80.6394203     0.7883104      0.0843474      0.0987155      -0.0223252     
29.4976217     86.6232638     0.6247308      0.0627943      0.1237315      -0.0576345     
37.6074127     86.8770735     0.5793443      0.0589642      0.1319466      -0.0792191     
28.9773481     80.5069858     0.7354386      0.0794312      0.1042646      -0.0274523     
39.6513455     84.5683027     0.5573553      0.0589038      0.130488       -0.0691415     
27.4031735     81.6216409     0.7305716      0.0779865      0.1066586      -0.0340293     
31.0989524     78.0452872     0.8207766      0.0752018      0.0992441      -0.0213213     
27.2155812     83.6958355     0.6429358      0.0719669      0.1172876      -0.0502002     
32.3187168     75.8304036     0.7869834      0.0869652      0.096237       -0.0205396     
26.8816158     83.9250487     0.6652939      0.068837       0.1168579      -0.0483608     
27.8899469     83.3139067     0.6482176      0.0660906      0.1207413      -0.0590851     
26.2554593     83.2399337     0.6453947      0.0753828      0.1200953      -0.0542162     
27.5713785     84.1790001     0.6118248      0.078583       0.1254262      -0.0613402     
27.6414923     81.2582389     0.7085826      0.0819914      0.1085293      -0.0331516     
26.5899616     81.7721559     0.6934914      0.0780162      0.1115823      -0.039635      
28.4213067     83.0107107     0.6113966      0.0701073      0.1245814      -0.0604497     
26.4701613     81.9689084     0.7007778      0.0760167      0.1111393      -0.0406344     
25.9702378     80.2457453     0.7221692      0.0777469      0.1114932      -0.0404524     
26.6058332     78.5207003     0.761786       0.0806369      0.108596       -0.0355786     
26.5683816     78.5448107     0.7225612      0.0844407      0.1097769      -0.0391285     
25.4565012     79.4067655     0.7059917      0.0778314      0.1143304      -0.0476518     
25.3040143     78.2240703     0.7122418      0.0777389      0.1157045      -0.0516602     
26.330551      82.5058145     0.6727941      0.0687261      0.1185068      -0.0531709     
25.7732717     83.5258836     0.6735465      0.0742128      0.1184986      -0.0522683     
25.3800678     81.1276707     0.6696807      0.0735063      0.12258        -0.0600728     
25.2431979     80.039507      0.6964191      0.082709       0.1168419      -0.0502971     
26.1789041     78.8063532     0.7082316      0.0897004      0.1160094      -0.0488602     
25.0414414     78.025217      0.7442282      0.0789828      0.1139519      -0.0476842     
26.1016677     75.4178586     0.7936449      0.0807828      0.1108802      -0.0444182     
25.2477045     80.1311941     0.6762773      0.0771131      0.1235376      -0.0643406     
25.3716289     75.4931799     0.7259924      0.0818072      0.1185477      -0.0573536     
25.8639428     75.6375966     0.7523828      0.0858341      0.1128534      -0.0484614     
24.8570108     79.7551522     0.6903562      0.0765882      0.1201484      -0.05717       
25.5785931     82.9768762     0.6818167      0.0754456      0.117526       -0.0511072     
24.8948837     77.364104      0.7149485      0.0802168      0.1182923      -0.055792      
24.7879891     79.9019994     0.6966499      0.080505       0.1214044      -0.0584533     
25.4780515     80.740964      0.6888539      0.0818881      0.1242543      -0.0618499     
25.5513506     77.9031977     0.7407635      0.0824877      0.1127179      -0.0434181     
24.7872853     79.574195      0.6923988      0.0784567      0.1208327      -0.0591099     
24.8017752     77.8087601     0.7190135      0.0751908      0.12101        -0.0609867     
25.7341253     79.7364673     0.6611186      0.0774003      0.1267231      -0.0689206     
24.6733418     78.4530296     0.7234508      0.0785872      0.1171447      -0.0529933     
24.7446134     80.8331505     0.6937992      0.0755144      0.1219238      -0.0596933     
24.4274823     78.8733016     0.7197687      0.0787134      0.1207779      -0.0593246     
24.4164388     78.4323764     0.7344749      0.079776       0.1210926      -0.060402      
25.4084727     81.0691402     0.6972959      0.0819449      0.1199493      -0.055274      
24.5311339     78.6238551     0.7135841      0.0768793      0.1207448      -0.0595585     
24.557574      78.4646432     0.7264333      0.0751804      0.1192911      -0.0582494     
24.1822413     78.3486269     0.7442981      0.0759182      0.1192461      -0.0572487     
24.0469357     77.7358428     0.7702477      0.0746489      0.1184528      -0.056318      
24.8573369     75.8507484     0.7734771      0.0785143      0.1167666      -0.0553152     
24.4188815     79.5875499     0.7137187      0.0762644      0.1206345      -0.0585988     
24.2248812     78.6846774     0.7399327      0.0745125      0.1229416      -0.0642574     
24.1690619     78.7610775     0.74235        0.077652       0.1222554      -0.0614044     
