RSS            K Variance     Outer Scale    Diameter       Wind X         Wind Y         
1363.435947    328.8869535    1.0            0.1            0.05           0.05           
2497.4113226   378.2199965    1.0            0.1            0.05           0.05           
1504.0684112   328.8869535    1.15           0.1            0.05           0.05           
1692.0807167   328.8869535    1.0            0.115          0.05           0.05           
1436.2880844   328.8869535    1.0            0.1            0.0575         0.05           
1386.5447632   328.8869535    1.0            0.1            0.05           0.0575         
859.4259255    279.5539105    1.06           0.106          0.053          0.053          
724.9875282    230.2208675    1.09           0.109          0.0545         0.0545         
851.5275839    289.4205191    1.096          0.0886         0.0548         0.0548         
783.5148276    273.6339453    0.9244         0.09904        0.05672        0.05672        
699.5759717    251.532742     1.04416        0.098656       0.048908       0.059408       
856.9886839    212.8556363    1.06624        0.097984       0.044612       0.064112       
847.5363587    220.5910575    1.061824       0.0981184      0.0559712      0.0526712      
1345.9827132   177.272699     1.0865536      0.0973658      0.0583597      0.0612397      
871.9578952    215.1762627    1.0649152      0.0980243      0.0562698      0.0584298      
892.2785739    290.9833899    1.0216384      0.0993414      0.0520899      0.0528099      
758.2015973    234.1280445    1.054096       0.0983536      0.0552248      0.0570248      
999.7130603    194.6221436    0.973792       0.1126672      0.0537296      0.0573296      
747.7733552    265.7209252    1.065448       0.0946168      0.0545324      0.0554324      
826.8427262    281.5035523    1.0094176      0.1017482      0.0519829      0.0605629      
743.9482762    266.2754286    1.0225192      0.1008407      0.05298        0.05859        
739.8260114    225.5172578    1.1860893      0.1015468      0.0497381      0.0572621      
726.1889982    261.578844     1.1091906      0.1035105      0.0490386      0.0570522      
700.0223746    228.3291307    1.1153356      0.1108048      0.0475334      0.0592925      
778.4666318    212.5961082    1.195391       0.1085666      0.0469073      0.0564159      
706.8307093    252.8555985    1.0657372      0.1027722      0.0514618      0.0580465      
740.749539     264.2896153    0.9836801      0.1083506      0.0508387      0.0580576      
706.8876475    235.2103472    1.135487       0.1032478      0.0500132      0.0574609      
786.8285129    217.6806304    1.0710973      0.1062818      0.051928       0.058431       
699.4062292    250.6042906    1.0996673      0.1042034      0.0497609      0.0573969      
681.9311518    257.1919762    1.0941548      0.0988737      0.0445709      0.0621419      
683.4939392    270.6775305    1.0962322      0.0938105      0.0396064      0.0659628      
702.7699154    260.995148     1.032135       0.1028762      0.0468808      0.0610533      
671.5218459    246.6057165    1.0884439      0.1033935      0.0435999      0.0616706      
658.0525984    243.4807755    1.0997973      0.1037041      0.0396689      0.0634826      
699.4903511    231.460418     1.149111       0.1036205      0.0452961      0.0596354      
691.2576323    265.3789502    1.0794205      0.0928182      0.0437485      0.0615335      
660.8564799    247.7138221    1.1647004      0.102632       0.0403101      0.0622681      
720.3223926    274.2875079    1.0659851      0.097272       0.0419277      0.0630938      
677.908783     242.1671905    1.1283296      0.1020334      0.044454       0.0605         
638.9187847    251.7687952    1.1268938      0.0958212      0.0353401      0.0665736      
608.1133953    252.3510475    1.140507       0.0916301      0.0281296      0.0711619      
654.221041     231.7829745    1.1715751      0.1067311      0.0351049      0.0662884      
652.6752936    229.8063479    1.1878089      0.1038186      0.0304961      0.0673385      
608.4013687    239.8867966    1.1774259      0.1013729      0.0250299      0.0717158      
628.5504916    231.2093547    1.1461453      0.1002707      0.0230616      0.0737268      
608.0088679    230.533833     1.2295876      0.0978253      0.01706        0.07661        
601.6935       224.0603617    1.2944828      0.0948858      0.0057555      0.0831736      
565.0481441    239.1425888    1.2069729      0.0900602      0.0098842      0.0805583      
516.8702948    242.8223959    1.2246718      0.0817248      -0.0027262     0.0876933      
507.5931617    246.3256347    1.2054842      0.0841352      0.0012041      0.0876501      
434.4202524    254.5852781    1.2143219      0.0742935      -0.0134419     0.0978058      
464.6393683    254.2729972    1.2744184      0.0772921      -0.0059629     0.0908934      
433.3267468    251.3500356    1.2819348      0.0665576      -0.0203283     0.1005754      
416.4761548    257.081655     1.3341893      0.0491499      -0.0430073     0.1150051      
458.5469444    240.7780277    1.3963266      0.0593083      -0.0518828     0.1186666      
407.2072141    275.7557799    1.2830884      0.0418216      -0.0525639     0.120852       
583.4858692    301.603489     1.2773913      0.0152895      -0.0817237     0.1396913      
441.3435843    270.1670992    1.376266       0.0390214      -0.0640173     0.1295959      
