RSS            K Variance     Outer Scale    Diameter       Wind X         Wind Y         
150.3803552    123.3351742    1.0            0.1            0.05           0.05           
310.188338     141.8354503    1.0            0.1            0.05           0.05           
170.4200286    123.3351742    1.15           0.1            0.05           0.05           
197.9517513    123.3351742    1.0            0.115          0.05           0.05           
159.0136784    123.3351742    1.0            0.1            0.0575         0.05           
154.9877216    123.3351742    1.0            0.1            0.05           0.0575         
79.8005666     104.834898     1.06           0.106          0.053          0.053          
60.9428237     86.3346219     1.09           0.109          0.0545         0.0545         
77.1266299     108.5349533    1.096          0.0886         0.0548         0.0548         
68.2027015     102.6148649    0.9244         0.09904        0.05672        0.05672        
58.2933441     94.3267412     1.04416        0.098656       0.048908       0.059408       
81.4607817     79.8225247     1.06624        0.097984       0.044612       0.064112       
77.0861998     82.723368      1.061824       0.0981184      0.0559712      0.0526712      
148.009348     66.4786456     1.0865536      0.0973658      0.0583597      0.0612397      
81.1792068     80.6927777     1.0649152      0.0980243      0.0562698      0.0584298      
83.9969407     109.121042     1.0216384      0.0993414      0.0520899      0.0528099      
65.1350336     87.7998438     1.054096       0.0983536      0.0552248      0.0570248      
100.0098118    72.9848227     0.973792       0.1126672      0.0537296      0.0573296      
63.2563612     99.6474206     1.065448       0.0946168      0.0545324      0.0554324      
76.1742635     105.566029     1.0094176      0.1017482      0.0519829      0.0605629      
63.8994658     99.8553637     1.0225192      0.1008407      0.05298        0.05859        
63.6325666     84.5707316     1.1860893      0.1015468      0.0497381      0.0572621      
62.0189793     98.0941078     1.1091906      0.1035105      0.0490386      0.0570522      
62.7771891     85.3340855     1.1754359      0.1020914      0.0497069      0.0548719      
65.5013244     100.9240593    1.0076045      0.101603       0.0529363      0.0552437      
59.3795762     88.6590635     1.1414681      0.1015609      0.0505376      0.0567575      
64.5449419     81.4520274     1.1586539      0.1113107      0.046544       0.0576034      
59.4906692     95.0985723     1.0887495      0.0987903      0.0525353      0.0559752      
63.8789804     99.6711572     1.0139913      0.1025157      0.0525009      0.0586052      
59.1657457     88.9183535     1.1350748      0.1021975      0.0504054      0.0558052      
70.9676228     83.2408331     1.0905903      0.1005713      0.0537159      0.0559262      
58.4173749     94.3807892     1.1045405      0.1027757      0.0502079      0.0567707      
58.4786982     98.2187859     1.1155972      0.0925921      0.0465377      0.0593866      
57.1455738     90.702921      1.1275868      0.1003226      0.0461033      0.059276       
57.3315353     88.5050953     1.1470054      0.1010888      0.0428873      0.0609265      
58.5834568     97.9599728     1.0693156      0.0970567      0.0463273      0.0595011      
60.5410404     101.3173306    1.0494052      0.0943638      0.0448283      0.0619318      
57.8016868     92.0180977     1.1136574      0.100239       0.0490111      0.0573369      
58.6127933     89.8989612     1.1329011      0.1007775      0.0499799      0.0573701      
57.8282004     95.9447199     1.085212       0.0979869      0.0472405      0.0589684      
58.3937165     88.7305217     1.0744655      0.1074         0.0500506      0.0573174      
58.7451609     90.3084114     1.0734921      0.0990661      0.0463175      0.060152       
57.7026783     93.3626947     1.0967784      0.1018483      0.0492353      0.057616       
58.1204056     97.8115482     1.1124923      0.0922212      0.0461486      0.0597247      
56.671977      93.6092514     1.1701308      0.0983912      0.0461875      0.0577608      
56.1540174     93.2505065     1.2331161      0.0982588      0.0448273      0.0569372      
57.6643231     88.3000278     1.150048       0.1072411      0.0484184      0.0563291      
58.3464888     87.1089792     1.2032627      0.1051771      0.0477977      0.0560297      
57.1747504     93.7357847     1.1147247      0.0997844      0.0473798      0.0582337      
56.1663718     91.7226762     1.1752442      0.1027431      0.0453745      0.05802        
56.0566339     89.7220717     1.2235095      0.1014917      0.043606       0.0579024      
56.1362519     87.9017602     1.286875       0.1013134      0.0407914      0.0580456      
55.6368508     95.3535563     1.1996245      0.0937992      0.042498       0.0598187      
55.4564953     98.8803205     1.2244128      0.0870782      0.0395378      0.0615635      
54.6431882     91.9756136     1.2788231      0.0961733      0.0403998      0.0592459      
53.7446747     91.0955281     1.3608723      0.0943678      0.0369099      0.059752       
54.3252875     95.1655202     1.3592752      0.0932532      0.0379989      0.058394       
53.0502182     95.5229026     1.3852301      0.0870368      0.0357774      0.0597997      
51.3386014     97.4230159     1.4902231      0.0791837      0.0309789      0.0606896      
51.1283022     95.6640761     1.430201       0.083891       0.0307853      0.0623834      
48.4516055     96.8708608     1.5287434      0.0767071      0.0237643      0.0651064      
48.6532197     102.0520265    1.5619012      0.0707443      0.0240699      0.0642998      
48.718838      94.1624601     1.6959933      0.0786242      0.0219509      0.0617332      
47.0184298     97.4760364     1.6958181      0.0665976      0.0170706      0.0662384      
46.3202729     98.6312944     1.8640896      0.0532698      0.0066065      0.0701606      
42.3436204     104.560335     1.895508       0.0490438      0.0060383      0.0690438      
41.2150759     111.2927385    2.1628258      0.0263818      -0.0093974     0.0736897      
39.8228182     103.7807362    2.0351982      0.0431072      -0.0041812     0.0733064      
40.0000813     106.9595964    2.3076858      0.0250689      -0.0217613     0.0796148      
39.7766538     110.8886025    1.96511        0.0294598      -0.0056061     0.0768919      
49.5300684     119.2516737    2.0996684      0.0048777      -0.0193846     0.0844713      
47.1088909     106.5336665    2.2604856      0.020826       -0.0195955     0.0793622      
42.5668818     115.5799544    2.5863404      -0.0074892     -0.0366338     0.0842579      
40.2271685     109.5356639    1.98494        0.0370658      -8.93e-05      0.0719604      
47.8137706     121.7997838    2.4296762      -0.0018596     -0.0289697     0.0818819      
42.5353126     104.4234168    2.0054863      0.0394874      -0.0022875     0.073091       
50.5306165     100.3885087    1.4750838      0.07769        0.0280091      0.0633178      
47.5080926     111.782093     2.3085262      0.0138056      -0.020473      0.0790229      
39.414664      107.3346694    2.0001541      0.0362835      -0.0048937     0.0750992      
39.860169      110.2121332    1.975025       0.0332628      -0.0028477     0.0744262      
40.3489897     111.0906705    2.0639679      0.0279208      -0.0075018     0.0752908      
40.9354071     107.6560096    1.9852981      0.0344736      -0.0039468     0.0749914      
48.5196876     113.2342785    2.2757252      0.0109853      -0.0211199     0.0805749      
42.8935224     105.6385556    1.7200969      0.0535749      0.0112015      0.0701049      
40.5293752     107.5374863    1.859004       0.0429275      0.0031212      0.0727224      
38.7465424     111.1694151    1.9600063      0.0334682      -0.0031444     0.0747807      
38.0759057     112.9261179    1.9473604      0.0329655      -0.0027432     0.0746754      
40.3282489     113.443391     2.121643       0.0210295      -0.0125581     0.077831       
38.1636529     110.8312951    1.9397491      0.0332796      -0.0039578     0.0762786      
40.3878203     107.4337362    1.8093165      0.045071       0.0045388      0.0731175      
39.1431294     111.9409773    2.0435614      0.0270398      -0.0082839     0.0766526      
37.5927625     111.3565317    1.983349       0.0303485      -0.0073462     0.0774129      
36.5842784     111.9287309    1.987511       0.0288914      -0.0095954     0.0789063      
36.8130644     111.0961137    2.0022243      0.0339241      -0.0061835     0.0757529      
36.4624759     116.1546246    1.9680083      0.0261566      -0.0074118     0.0778072      
35.9450091     120.5646022    1.9519354      0.0210931      -0.0086709     0.0791612      
35.9663512     114.9977666    1.8879507      0.0330216      -0.0041764     0.0772572      
35.1874764     117.7740374    1.9710436      0.0266787      -0.00859       0.0780226      
34.631268      121.2454085    1.9866909      0.0233782      -0.0109061     0.0788945      
33.7242633     119.0069309    1.9791646      0.0231579      -0.0130697     0.0813135      
32.8673878     122.0473374    1.9950667      0.0182541      -0.0182329     0.0846325      
33.8734819     125.2174245    1.9214375      0.0159313      -0.0144492     0.0837878      
34.8331328     129.7002848    1.9097215      0.01578        -0.0129789     0.082587       
34.9649781     132.5122564    2.0179901      0.0047531      -0.0219188     0.086368       
34.3649243     131.7244825    1.9804273      0.0101455      -0.0227235     0.0873467      
34.0892255     119.4617187    1.8993474      0.0286425      -0.0097974     0.0805314      
32.8290476     118.1782638    2.0034664      0.0227607      -0.0174648     0.0834902      
33.3784869     112.4172534    2.0503388      0.026251       -0.0197078     0.0839418      
32.5714713     125.4062822    1.9332072      0.0149154      -0.022161      0.0890209      
32.9490883     127.4867191    1.9064654      0.0106841      -0.0277885     0.094084       
34.7404645     112.3999282    1.9205828      0.0300561      -0.0101187     0.0812384      
33.3670537     126.8933439    1.9654662      0.0151232      -0.0195723     0.0858196      
